No,ECAR PART,SUBPART,Subpart Section,Subpart Subsection,SUBPART HEADING,SUBPART SECTION HEADING,REGULATION  STATEMENT
1,91,A,91.1,A,General,Applicability,"a) This Part prescribes rules governing the domestic and international operation of aircraft other than moored balloons, kites, unmanned rockets, and unmanned free balloons, which are governed by ECAR Part 101, and ultra light vehicles operated in accordance with Part 103 and light sport aircraft in accordance with Part 104 and agricultural aircraft Part 137"
2,91,A,91.1,B,General,Applicability,b) A corporate aviation operation involving three or more aircraft that are operated by pilots Employed for the purpose of flying the aircraft.                                                                              Note. — The term ―aircraft‖ is used to indicate that a corporate aviation operation using a mix of airplanes and helicopters is be subject to this Recommendation as long as at least one airplane is involved
3,91,A,91.2,-,General,Definitions,Alternate heliport. A heliport specified in the flight plan to which a flight may proceed when it becomes inadvisable to land at the heliport of intended landing.
4,91,A,91.2,-,General,Definitions,"Approach and landing phase helicopters. That part of the flight from 300 m (1 000 ft) above the elevation of the FATO, if the flight is planned to exceed this height, or from the commencement of the descent in the other cases, to landing or to the balked landing point"
5,91,A,91.2,-,General,Definitions,"Agreement summary. When an aircraft is operating under an Article 83 bis agreement between the State of Registry and another State, the agreement summary is a document transmitted with the Article 83 bis Agreement registered with the ICAO Council that identifies succinctly and clearly which functions and duties are transferred by the State of Registry to that other State.
Note.— The other State in the above definition refers to the State of the principal location of a general aviation operator."
6,91,A,91.2,-,General,Definitions,"Defined point after take-off. The point, within the take-off and initial climb phase, before which the helicopter's ability to continue the flight safely, with one engine inoperative, is not assured and a forced landing may be required."
7,91,A,91.2,-,General,Definitions,"Defined point before landing. The point, within the approach and landing phase, after which the helicopter's ability to continue the flight safely, with one engine inoperative, is not assured and a forced landing may be required."
8,91,A,91.2,-,General,Definitions,"Continuous descent final approach (CDFA). A technique, consistent with stabilized approach procedures, for flying the final approach segment (FAS) of an instrument non-precision approach (NPA) procedure as a continuous descent, without level-off, from an altitude/height at or above the final approach fix altitude/height to a point approximately 15 m (50 ft) above the landing runway threshold or the point where the flare manoeuvre begins for the type of aircraft flown; for the FAS of an NPA procedure followed by a circling approach, the CDFA technique applies until circling approach minima (circling OCA/H) or visual flight manoeuvre altitude/height are reached."
9,91,A,91.2,-,General,Definitions,En-route phase. That part of the flight from the end of the take-off and initial climb phase to the commencement of the approach and landing phase.
10,91,A,91.2,-,General,Definitions,Elevated heliport. A heliport located on a raised structure on land.
11,91,A,91.2,-,General,Definitions,"Ground handling. Services necessary for an aircraft=s arrival at, and departure from, an airport, other than air traffic services."
12,91,A,91.2,-,General,Definitions,"Heliport operating minima. The limits of usability of a heliport for:
(a) Take-off, expressed in terms of runway visual range and/or visibility and, if necessary, cloud conditions;
(b) Landing in precision approach and landing operations, expressed in terms of visibility and/or runway visual range and decision altitude/height (DA/H) as appro-priate to the category of the operation;
(c) Landing in approach and landing operations with vertical guidance, expressed in terms of visibility and/or runway visual range and decision altitude/height (DA/H); and (d) Landing in non-precision approach and landing operations, expressed in terms of visibility and/or runway visual range, minimum descent altitude/height (MDA/H) and, if necessary, cloud conditions."
13,91,A,91.2,-,General,Definitions,"Landing decision point (LDP). The point used in determining landing performance from which, a power-unit failure occurring at this point, the landing may be safely continued or a balked landing initiated."
14,91,A,91.2,-,General,Definitions,"Landing decision point (LDP). The point used in determining landing performance from which, a power-unit failure occurring at this point, the landing may be safely continued or a balked landing initiated."
15,91,A,91.2,-,General,Definitions,Safe forced landing. Unavoidable landing or ditching with a reasonable expectancy of no injuries to persons in the aircraft or on the surface.
16,91,A,91.2,-,General,Definitions,"State of the principal location of a general aviation operator. The State in which the operator of a general aviation aircraft has its principal place of business or, if there is no such place of business, its permanent residence.
Note.— Guidance concerning the options for the principal location of a general aviation operator is contained in the Manual on the Implementation of Article 83 bis of the Convention on International Civil Aviation (Doc 10059)."
17,91,A,91.2,-,General,Definitions,"Specific approval. A specific approval is an approval which is documented in the Operations Specifications for commercial air transport operations or in the list of specific approvals for non-commercial operations.
Note.— The terms authorization, specific approval, approval and acceptance are further described in Attachment 3.D."
18,91,A,91.2,-,General,Definitions,"Take-off and initial climb phase. That part of the flight from the start of take-off to 300 m (1 000 ft) above the elevation of the FATO, if the flight is planned to exceed this height, or to the end of the climb in the other cases."
19,91,A,91.2,-,General,Definitions,"Take-off decision point (TDP). The point used in determining take-off performance from which, a power-unit failure occurring at this point, either a rejected take-off may be made or a take-off safely continued."
20,91,A,91.2,-,General,Definitions,"VTOSS. The minimum speed at which climb shall be achieved with the critical power-unit inoperative, the remaining power-units operating within approved operating limits."
21,91,A,91.2,-,General,Definitions,Take-off alternate. An alternate aerodrome at which an aircraft can land should this become necessary shortly after take-off and it is not possible to use the aerodrome of departure.
22,91,A,91.3,-,General,Pilot in Command Responsibilities,"An operator shall ensure that all pilots are familiar with the laws, regulations and procedures, pertinent to the performance of their duties, prescribed for the areas to be traversed, the aerodromes to be used and the air navigation facilities relating thereto. The operator shall ensure that other members of the flight crew are familiar with such of these laws, regulations and procedures as are pertinent to the performance of their respective duties in the operation of the aeroplane
The pilot-in-command shall comply with the relevant laws, regulations and procedures of the States in which the aircraft is operated, in addition he is responsible for:"
23,91,A,91.3,A,General,Pilot in Command Responsibilities,"(a) The operation safety and security of the aircraft and the safety of all crew members, passenger and cargo on board;"
24,91,A,91.3,B,General,Pilot in Command Responsibilities,"(b) All cockpit crew and passenger briefed about;
(1) Seat belts; and, as appropriate,
(2) Emergency exits;
(3) Life jackets;
(4) Oxygen dispensing equipment; and
(5) Other emergency equipment provided for individual use, including passenger emergency briefing cards.
(6) The pilot-in-command shall ensure that all persons on board are aware of the location and general manner of use of the principal emergency equipment carried for collective use.
(7) Restrictions on smoking"
25,91,A,91.3,C,General,Pilot in Command Responsibilities,"(c) The pilot-in-command shall: (1) Ensure that each flight crew member holds a valid licence issued by the State of Registry, or if issued by another Contracting State, rendered valid by the State of Registry;
(2) Ensure that flight crew members are properly rated; and
(3) Be satisfied that flight crew members have maintained competency."
26,91,A,91.3,D,General,Pilot in Command Responsibilities,"(d) The pilot-in-command shall ensure that a flight will not be commenced unless it has been ascertained by every reasonable means available that the ground and/or water facilities including communication facilities and navigation aids available and directly required on such flight, for the safe operation of the aero plane, are adequate for the type of operation under which the flight is to be conducted."
27,91,A,91.3,E,General,Pilot in Command Responsibilities,(e) Completing all checklists;
28,91,A,91.3,F,General,Pilot in Command Responsibilities,"(f) Notifying the nearest authority by the quickest means possible in the event of an accident involving serious injury, death or substantial damage to the aircraft or property; In the event that the pilot-in-command is incapacitated the operator shall take the forgoing action."
29,91,A,91.3,G,General,Pilot in Command Responsibilities,(g) Notifying the nearest authority by the quickest means possible in the event of an act of unlawful interference with the conduct of the flight;
30,91,A,91.3,H,General,Pilot in Command Responsibilities,(h) Reporting all known defects of the aircraft at the end of the flight;
31,91,A,91.3,I,General,Pilot in Command Responsibilities,(i) Completion of the log book and the general declaration;
