No,GACAR PART,SUBPART,Subpart Section,Subpart Subsection,SUBPART HEADING,SUBPART SECTION HEADING,REGULATION  STATEMENT
1,157,A,157.3,A,General ,General,"(a) This part prescribes the ICAO’s Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA) for
implementation in the Kingdom of Saudi Arabia. Airplane operators are required to measure and report CO2 emissions
based on fuel use from international flights to the President, beginning from a 2019-2020 baseline period. The timeline
and compliance requirements for this part can be found in Appendix A. Emissions in excess of internationally agreed
targets must be offset via cancellation of emissions credits or other emission reduction schemes."
2,157,A,157.5,A,General ,Applicability,"(a) This part prescribes the technical requirements governing airplane operators that produce annual CO2 emissions greater than 10,000 tons from the use of an airplane(s) conducting international flights. It applies to airplanes with a maximum certificated take-off mass greater than 5,700 kg."
3,157,A,157.5,B,General ,Applicability,(b) The following terms are used in this part:
4,157,A,157.5,-,General ,Applicability,(1) An Airplane Operator means an operator certified under GACAR part 119 or otherwise legally permitted to operate an airplane in the Kingdom of Saudi Arabia.
5,157,A,157.5,-,General ,Applicability,(2) An Aerodrome pair is a group of two aerodromes composed of a departure aerodrome and an arrival aerodrome.
6,157,A,157.5,-,General ,Applicability,"(3) An Airplane owner is a person, organization or enterprise identified in the certificate of registration of an airplane."
7,157,A,157.5,-,General ,Applicability,"(4) A Baseline period is the initial period of CORSIA, which establishes the reference emissions that airplane operators use as a basis for calculating offset requirements in future compliance periods."
8,157,A,157.5,-,General ,Applicability,(5) A Cancellation is the cancellation of an emissions unit is the permanent removal and single use of a CORSIA Eligible Emissions Unit within a CORSIA Eligible Emissions Unit Program designed registry such that the same emissions unit may not be used more than once.
9,157,A,157.5,-,General ,Applicability,"(6) A Compliance Period is the compliance period for GACAR 157, which is every three years beginning in 2021."
10,157,A,157.5,-,General ,Applicability,"(7) A CORSIA eligible fuel is a CORSIA sustainable aviation fuel or a CORSIA lower carbon aviation fuel, which an operator may use to reduce their offsetting requirements."
11,157,A,157.5,-,General ,Applicability,(8) A CORSIA lower carbon aviation fuel is a fossil-based aviation fuel that meets the CORSIA Sustainability Criteria under this GACAR.
12,157,A,157.5,-,General ,Applicability,(9) A CORSIA sustainable aviation fuel is a renewable or waste-derived aviation fuel that meets the CORSIA Sustainability Criteria under this GACAR.
13,157,A,157.5,-,General ,Applicability,"(10) A Domestic flight is a flight that is defined as the operation of an airplane from take-off at an aerodrome of a State or its territories, and landing at an aerodrome of the same State or its territories."
14,157,A,157.5,-,General ,Applicability,(11) An Emissions Unit is one metric ton of carbon dioxide equivalent.
15,157,A,157.5,-,General ,Applicability,"(12) A Fuel Uplift is the measurement of fuel provided by the fuel supplier, as documented in the fuel delivery notes or invoices for each flight (in liter)."
16,157,A,157.5,-,General ,Applicability,"(13) An International flight is a flight that is defined as the operation of an airplane from take-off at an aerodrome of a State or its territories, and landing at an aerodrome of another State or its territories."
17,157,A,157.5,-,General ,Applicability,(14) A New entrant is any airplane operator whose aviation activity falls within the scope of this GACAR on or after its entry into force and whose activity is not in whole or in part a continuation of an aviation activity previously performed by another airplane operator.
18,157,A,157.5,-,General ,Applicability,(15) A Reporting period is a period that commences on 1 January and finishes on 31 December in a given year for which an airplane operator or State reports required information. The flight departure time (UTC) determines which reporting period a flight belongs to.
19,157,A,157.5,-,General ,Applicability,(16) A State pair is a group of two States composed of a departure State or its territories and an arrival State or its territories.
20,157,A,157.5,-,General ,Applicability,"(17) A Systematic error is a consistent, repeatable error caused by faulty equipment, usually an incorrectly calibrated instrument or improperly used measurement device."
21,157,A,157.5,-,General ,Applicability,"(18) A Verification report is an independent, systematic and sufficiently documented evaluation process of an emissions report and, when required, a cancellation of eligible emissions units report."
22,157,A,157.5,-,General ,Applicability,"(19) A Verification body is a legal entity that performs the verification of an Emissions Report and, when required, an Emissions Unit Cancellation Report, as an accredited independent third party and authorized by a Member State according to ISO 14065:2013."
23,157,A,157.5,-,General ,Applicability,"(20) Verification report. A document, drafted by the verification body, containing the verification statement and required supporting information."
24,157,A,157.5,C,General ,Applicability,(c) For the purpose of this GACAR:
25,157,A,157.5,-,General ,Applicability,(1) CERT is the abbreviation for CO2 Estimation and Reporting Tool
26,157,A,157.5,-,General ,Applicability,(2) CO2 is the abbreviation for Carbon Dioxide
27,157,A,157.5,-,General ,Applicability,(3) CO2e is the abbreviation for Carbon Dioxide equivalent
28,157,A,157.5,-,General ,Applicability,(4) CORSIA is the abbreviation for Carbon Offsetting and Reduction Scheme for International Aviation
29,157,A,157.5,-,General ,Applicability,(5) EMP is the abbreviation for Emissions Monitoring Plan
30,157,A,157.5,-,General ,Applicability,(6) GHG is the abbreviation for Greenhouse gases
31,157,A,157.5,-,General ,Applicability,"(7) MRV is the abbreviation for Monitoring, Reporting and Verification"
32,157,A,157.5,-,General ,Applicability,(8) OEy is the abbreviation for Individual aircraft operator’s emissions covered by §157.21 (a) subject to offsetting in year y
33,157,A,157.5,-,General ,Applicability,(9) OGF is the abbreviation for Individual aircraft operator’s growth factor
34,157,A,157.5,-,General ,Applicability,(10) ORy is the abbreviation for Individual aircraft operator’s emissions offsetting requirements
35,157,A,157.5,-,General ,Applicability,"(11) Sy is the abbreviation for Sectoral emissions, including all international aviation emissions, in year y"
36,157,A,157.5,-,General ,Applicability,(12) SGF is the abbreviation for Sector’s growth factor
37,157,A,157.7,-,General ,Units of CORSIA,"Non-SI units: The non-SI units listed in Table 1 are used either in lieu of, or in addition to, SI units as primary units of measurement under this GACAR."
38,157,B,157.9,A,Administration,Attribution of international flights to an airplane operator,(a) The airplane operator must identify international flights that are attributed to it according to the approach defined in 157.9(b) and 157.9(c). Two or more consecutive flights operated under the same flight number are considered as separate flights for the purposes of this GACAR.
39,157,B,157.9,B,Administration,Attribution of international flights to an airplane operator,"(b) When considering whether a flight is international or domestic, an airplane operator must useICAO Doc 7910 — Location Indicators, which contains a list of aerodromes and the State they are attributed to. The attribution of a specific international flight to an airplane operator must be determined as follows:"
40,157,B,157.9,-,Administration,Attribution of international flights to an airplane operator,"(1) ICAO Designator: When Item 7 (aircraft identification) of the flight plan, which is described in ICAO Doc 4444, contains the ICAO Designator, as listed in ICAO Doc 8585, that flight must be attributed to that airplane operator; if not, then"
41,157,B,157.9,-,Administration,Attribution of international flights to an airplane operator,"(2) Registration marks: When Item 7 of the flight plan contains the nationality or common mark and registration mark of an airplane that is explicitly listed in an AOC (or equivalent) issued by the President, that flight must be attributed to the airplane operator that holds the AOC (or equivalent); if not, then"
42,157,B,157.9,-,Administration,Attribution of international flights to an airplane operator,"(3) Other: When the airplane operator of a flight has not been identified via 157.9(b) (1) or (2), that flight must be attributed to the airplane owner who must then be considered the airplane operator."
43,157,B,157.9,C,Administration,Attribution of international flights to an airplane operator,"(c) If requested by the President, airplane owners identified via 157.9(b) (3) must provide all information necessary to identify the actual airplane operator of a flight."
44,157,B,157.9,D,Administration,Attribution of international flights to an airplane operator,"(d) The airplane operator may, by contract, delegate the administrative requirements of this GACAR to a third party, as long as the delegation is not to the same entity as the verification body. Liability for compliance may not be delegated."
45,157,B,157.9,E,Administration,Attribution of international flights to an airplane operator,(e) GACA will ensure the correct attribution of an international flight departing from an aerodrome in KSA to an airplane operator using the approach in 157.9(b) and perform the required order of magnitude checks to ensure the completeness of reported data as described in 157.27(a)3.
46,157,B,157.11,A,Administration,Attribution of an airplane operator to the Kingdom of Saudi Arabia,(a) The airplane operator with international flights must identify the State to which it is attributed according to the approach in 157.11(b). All operators certified under GACAR Part 119 operating airplane maximum takeoff weight more than 5700 kg must fulfil the requirements stipulated in this Part of GACAR.
47,157,B,157.11,B,Administration,Attribution of an airplane operator to the Kingdom of Saudi Arabia,(b) The attribution of an airplane operator to the Kingdom of Saudi Arabia is determined as follows:
48,157,B,157.11,-,Administration,Attribution of an airplane operator to the Kingdom of Saudi Arabia,"(1) ICAO Designator: Where the airplane operator has an ICAO Designator under KSA, the airplane operator must fulfill this GACAR’s requirements; if not, then"
49,157,B,157.11,-,Administration,Attribution of an airplane operator to the Kingdom of Saudi Arabia,"(2) Airplane operator certificate: Where the airplane operator does not possess an ICAO Designator under KSA, but has a valid airplane operator certificate (or equivalent) under GACAR 119, the airplane operator must fulfill this GACAR’s requirements; if not, then"
50,157,B,157.11,-,Administration,Attribution of an airplane operator to the Kingdom of Saudi Arabia,"(3) Place of registration: Where the airplane operator does not possess an ICAO Designator or airplane operator certificate under GACAR 119, but is registered in KSA, the airplane operator must fulfill the requirements under GACAR 157."
51,157,B,157.11,C,Administration,Attribution of an airplane operator to the Kingdom of Saudi Arabia,"(c) Where the airplane operator is a natural person whose State of residence and registration is the KSA, the airplane operator must fulfill the requirements under GACAR 157."
52,157,B,157.11,D,Administration,Attribution of an airplane operator to the Kingdom of Saudi Arabia,"(d) The airplane operator with a wholly owned subsidiary airplane operator that is legally registered in KSA may be treated as a single consolidated airplane operator liable for compliance with the requirements of this GACAR, subject to the approval of the President. Evidence must be provided in the airplane operator’s Emissions Monitoring Plan to demonstrate that the subsidiary airplane operator is wholly owned."
53,157,B,157.11,E,Administration,Attribution of an airplane operator to the Kingdom of Saudi Arabia,(e) GACA will ensure the correct attribution of an airplane operator to it according to the approach in 157.11(b).
54,157,,157.11,F,Administration,Attribution of an airplane operator to the Kingdom of Saudi Arabia,(f)GACA will submit to ICAO a list of airplane operators which are attributed to it.
55,157,B,157.13,A,Administration,Technical and operation standard for CORSIA,(a) The airplane operator must comply by submitting the following forms in a format and manner prescribed by the President:
56,157,B,157.13,-,Administration,Technical and operation standard for CORSIA,(1) Airplane Operator Information;
57,157,B,157.13,-,Administration,Technical and operation standard for CORSIA,(2) Emissions Monitoring Plan; and
58,157,B,157.13,-,Administration,Technical and operation standard for CORSIA,(3) Emissions Report.
59,157,B,157.15,A,Administration,Recordkeeping,"(a) The airplane operator must keep records relevant for demonstrating compliance with the requirements of Subparts C,
D, and E of this GACAR for a period of 10 years."
60,157,B,157.15,B,Administration,Recordkeeping,"(b) The airplane operator must keep records relevant to its CO2 emissions per aerodrome pair during the 2019-2020 baseline periodor the first two years in case of a new entrant, to cross-check its offsetting requirements calculated by the President during the 2030-2035 compliance periods."
61,157,B,157.15,C,Administration,Recordkeeping,(c) GACA will keep records relevant to the airplane operator’s CO 2 emissions per State pair during the period of 2019-2020 in order to calculate the airplane operator’s offsetting requirements during the 2030-2035 compliance periods.
62,157,B,157.17,A,Administration,Equivalent procedures,(a) Airplane operators using equivalent procedures must demonstrate that those procedures meet the requirements stipulated in this CAGAR. The use of equivalent procedures in lieu of the procedures specified in this GACAR 157 must be approved by the President.
63,157,B,157.19,-,Administration,Essential Supporting Documents,The documents in Appendix B provide reference data and detailed implementation guidance as well as describe procedures in additional detail. They provide material support to this GACAR and are essential to the implementation of CORSIA.
64,157,C,157.21,A,"Monitoring, Reporting and verification (MRV) of airplane operator annual CO2 Emissions",MRV Applicability,"(a) Subpart C of this GACAR is applicable to an airplane operator conducting international flights on or after 1 January 2019, with the exception of humanitarian, medical and firefighting flights."
65,157,C,157.21,B,"Monitoring, Reporting and verification (MRV) of airplane operator annual CO2 Emissions",MRV Applicability,"(b) Subpart C of this GACAR is not applicable to international flights preceding or following a humanitarian, medical or firefighting flight provided such flights were conducted with the same airplane and were required to accomplish the related humanitarian, medical or firefighting activities or to reposition thereafter the airplane for its next activity. The airplane operator must provide supporting evidence of such activities to the verification body or,
upon request, to the President."
66,157,C,157.21,C,"Monitoring, Reporting and verification (MRV) of airplane operator annual CO2 Emissions",MRV Applicability,(c) Subpart C of this GACAR is applicable to a new entrant airplane operator from the year after it meets the requirements in 157.3.
67,157,C,157.21,D,"Monitoring, Reporting and verification (MRV) of airplane operator annual CO2 Emissions",MRV Applicability,"(d) Airplane operators must maintain an Operations Manual that contains documented procedures to carry out all of the monitoring, reporting, and verification requirements described in GACAR 157.21."
68,157,C,157.23,A,"Monitoring, Reporting and verification (MRV) of airplane operator annual CO2 Emissions",MRV Applicability,(a) Emissions Monitoring Plan (EMP)
69,157,C,157.23,-,"Monitoring, Reporting and verification (MRV) of airplane operator annual CO2 Emissions",MRV Applicability,"(1) The airplane operator must submit an Emissions Monitoring Plan, which is required to be
approved by the President."
70,157,C,157.23,-,"Monitoring, Reporting and verification (MRV) of airplane operator annual CO2 Emissions",MRV Applicability,(2) A new entrant airplane operator must submit an Emissions Monitoring Plan to the President within three months of falling within the scope of applicability as defined in 157.3.
71,157,C,157.23,-,"Monitoring, Reporting and verification (MRV) of airplane operator annual CO2 Emissions",MRV Applicability,(3) The airplane operator must resubmit the Emissions Monitoring Plan to the President for approval if a change is made to the information contained within the Emissions Monitoring Plan.
72,157,C,157.23,-,"Monitoring, Reporting and verification (MRV) of airplane operator annual CO2 Emissions",MRV Applicability,"(4) If the airplane operator’s Emissions Monitoring Plan is determined to be incomplete and/or inconsistent with the Emissions Monitoring Plan requirements, GACA will inform the airplane operator in writing to resolve outstanding issues. This may involve returning the Emissions Monitoring Plan to the airplane operator along with an explanation as to why the plan was found deficient, or a request for further information."
73,157,C,157.23,B,"Monitoring, Reporting and verification (MRV) of airplane operator annual CO2 Emissions",MRV Applicability,(b) Eligibility of monitoring methods
